season,episode_number,title,airdate,rating,total_votes,desc
1,1,Pilot,2009-09-17,7.8,3182,"An ex-lawyer is forced to return to community college to get a degree. However, he tries to use the skills he learned as a lawyer to get the answers to all his tests and pick up on a sexy woman in his Spanish class."
1,2,Spanish 101,2009-09-24,7.9,2755,"Jeff takes steps to ensure that Brita will be his partner in Spanish class, but winds up with Pierce instead."
1,3,Introduction to Film,2009-10-01,8.3,2695,"Brita comes between Abed and his father when she signs him up for a film class, and Jeff risks failing a class unless he ""seizes the day."""
1,4,Social Psychology,2009-10-08,8.2,2472,"Jeff and Shirley bond by making fun of Britta's new hippie boyfriend, which doesn't go well for any involved. Meanwhile, Troy and Abed become pawns in Annie's psychology experiment."
1,5,Advanced Criminal Law,2009-10-15,7.9,2374,"Señor Chang is on the hunt for a cheater and threatens to fail the entire class if the culprit doesn't come forward. When someone confesses, Jeff comes to their defense. Meanwhile, Annie recruits Pierce to write the new school song."
1,6,"Football, Feminism and You",2009-10-22,7.8,2330,"Jeff talks Troy into playing for the college's football team, sparking Annie's anger. Pierce helps the dean come up with a new mascot, and Britta tries to become Shirley's bathroom friend."
1,7,Introduction to Statistics,2009-10-29,8.8,2737,Will Jeff blow off Annie's Halloween party and sell out his other classmates in order to get a chance to score with a sexy professor?
1,8,Home Economics,2009-11-05,8.0,2264,"When Jeff loses his home and his car, he is forced to move into Abed's dorm room. Troy has a big date, but why is a jealous Annie trying to help? Meanwhile, Pierce becomes the keyboardist for Vaughn's band."
1,9,Debate 109,2009-11-12,8.8,2695,"Jeff reluctantly agrees to be Annie's debate partner, Britta humors Pierce by letting him try hypnotherapy on her to get her to stop smoking, and the gang begins to think that Abed's films may predict their future."
1,10,Environmental Science,2009-11-19,8.2,2301,"Jeff hangs out with Senor Chang to get out of an essay, angering the rest of the group. Meanwhile, Abed and Troy search for their missing lab mouse, and Pierce helps Shirley out with a presentation."
1,11,Politics of Human Sexuality,2009-12-03,7.9,2204,"Annie helps the dean put on an ""STD Fair,"" but doesn't want to perform an embarrassing demonstration. Meanwhile Jeff finds a companion for a double date with Pierce, and Troy finds out that Abed is a better athlete than him."
1,12,Comparative Religion,2009-12-10,8.5,2377,"Shirley throws a Christmas party for the gang and much to her surprise learns her classmates come from various religious backgrounds. Meanwhile, Jeff is challenged by the school bully and faces the reality that he may fail Spanish 101."
1,13,Investigative Journalism,2010-01-14,8.0,2272,"The gang decides not to let an obnoxious student from their Spanish class into the study group. The dean appoints Jeff as editor of the student paper, where Annie is working on a story that could expose the dean as a racist."
1,14,Interpretive Dance,2010-01-21,7.9,2147,"Jeff runs in to problems when the study group and the dean discover that he's seeing a professor, while Troy and Britta discover each other's secret that they are both taking dance classes."
1,15,Romantic Expressionism,2010-02-04,8.1,2151,"When Annie starts hanging out with Britta's ex-boyfriend Vaughn, Britta and Jeff vow to protect her. Meanwhile, Pierce feels left out at Troy and Abed's movie night."
1,16,Communication Studies,2010-02-11,8.5,2232,"Jeff sets out to fix his relationship with Britta after things get awkward with a drunken phone call. Meanwhile, Annie and Shirley make plans to humiliate Señor Chang in order to defend Troy and Pierce's dignity."
1,17,Physical Education,2010-03-04,9.0,2735,"Jeff refuses to participate in a pool class because the teacher forces him to play in gym shorts, and the study group discovers a white version of Abed at the college."
1,18,Basic Genealogy,2010-03-11,8.0,2107,"It's Family Day at Greendale. Pierce tries to build a relationship with his stepdaughter, but she has eyes for Jeff instead. Britta gets in trouble with Troy's Nana, and Shirley's kids cause problems for Abed's father."
1,19,Beginner Pottery,2010-03-18,8.5,2255,"Jeff signs up for a pottery class for an easy credit, but winds up failing the class when his jealousy of another student gets the best of him. Meanwhile, Pierce's incompetence could ruin his group's grade in boating class."
1,20,The Science of Illusion,2010-03-25,8.5,2172,"Britta's April Fool's Day prank has disastrous consequences, but she refuses to confess that she was responsible. Annie and Shirley temporarily work as security guards, but both of them want to be the ""bad cop."""
1,21,Contemporary American Poultry,2010-04-22,9.3,3400,Jeff's plan to get chicken fingers from the school cafeteria for the study group quickly evolves into a mafia movie-style endeavor with Abed calling all the shots.
